rank,headword,pos,en,ex_fr,ex_en,dispersion,freq
4461,panier,nm,basket,par terre s’empilaient encore des paniers et des caisses –,still more baskets and boxes were piling up on the ground,69,215
4462,bouton,nm,"button, knob, spot",elle pressa le bouton qui commande l’ouverture de la porte –,she pushed the button that opened the door,62,274
4463,immobile,adj(f),"still, motionless","je restais là, immobile –","I stayed there, motionless",50,404
4464,fermeté,nf,"firmness, solidness, steadiness","la patience, la tolérance et la fermeté sont nécessaires –","patience, tolerance, and firmness are necessary",70,204
4465,véhiculer,v,"to transport, convey",je peux véhiculer ça sans aucun problème –,"I can deliver this by vehicle, no problem",70,207
4466,répliquer,v,to reply,l’orateur répliqua que c’était presque fait –,the speaker responded that it was almost done,75,167
4467,passionnant,adj,"fascinating, exciting",j’aimais tant étudier que je trouvais passionnant d’enseigner –,I loved studying so much that I found teaching exciting,71,197
4468,théologie,nf,theology,"en théologie, on m’enseignait des choses intelligentes –",in theology I was taught intelligent things,54,358
4469,advenir,v,"to happen that, happen to",on ignore ce qu’il est advenu de lui –,we have no idea what has become of him,72,188
4470,immigrer,v,to immigrate,mes grands-parents ont immigré au Canada –,my grandparents immigrated to Canada,62,274
4471,tache,nf,"stain, spot, mark","c’est une tache d’humidité, dis-je –","it’s a humidity stain, I said",61,281
4472,tendresse,nf,"tenderness, fondness",la femme a plus de tendresse que l’homme –,women have more tenderness than men,54,351
4473,privilégié,nadj,privileged,j’ai eu une vie protégée et privilégiée –,I had a protected and privileged life,72,186
4474,slogan,nm,slogan,"quand je l’écoute, un slogan me vient en tête –","while listening to her, I thought of a motto",68,217
4475,fromage,nm,cheese,je n’ai jamais vraiment aimé les fromages –,I have never really liked cheese,67,231
4476,toxique,nadj(f),"toxic, toxin",attention aux produits de jardinage toxiques –,be careful of toxic gardening products,60,292
4477,incapacité,nf,"incompetence, incapability",tout démontre notre incapacité à prendre des décisions collectives –,everything demonstrates our inability to make collective decisions,75,165
4478,pharmaceutique,nadj(f),pharmaceutical,"les compagnies pharmaceutiques sont très, très, très riches –","pharmaceutical companies are very, very, very rich",61,278
4479,parfum,nm,"perfume, scent, fragrance",divers sont les parfums des fleurs –,flowers’ scents vary widely,61,278
4480,antique,nadj(f),"antique, ancient",le château me semblait immense et antique –,the castle seemed immense and ancient to me,68,217
4481,controversé,adj,"much debated, controversial","des problèmes difficiles et controversés, mais tout aussi urgents –",difficult and controversial problems that are nonetheless urgent,69,213
4482,instinct,nm,instinct,tu as tous les mauvais instincts –,you have all the wrong instincts,60,287
4483,barreau,nm,bar,je me suis trouvé derrière les barreaux –,I found myself behind bars,70,202
4484,insupportable,adj(f),intolerable,l’horreur de cette agonie était insupportable –,the horror of this agony was unbearable,68,221
4485,opportun,adj,"timely,",je n’ai pas trouvé le moment opportun –,I didn’t find the right moment,63,263
4486,parquet,nm,"parquet floor, hardwood floor, prosecutor’s office",une autopsie a été ordonnée par le parquet –,the prosecutor ordered an autopsy,55,342
4487,navigation,nf,navigation,la navigation sur le Danube est bloquée depuis 18 mois –,navigation on the Danube has been blocked for 18 months,80,128
4488,contrarier,v,"to annoy, bother, thwart",je les soupçonnais de vouloir me contrarier –,I suspected them of wanting to hassle me,69,212
4489,nouer,v,"to knot, tie","l’estomac noué, j’oubliais la compétition –","my stomach in knots, I forgot the competition",66,235
4490,frustration,nf,frustration,cela ne va pas sans frustration chez moi –,it’s not without frustration on my part,72,182
4491,cinquantaine,nf,about fifty,certains d’entre eux emploient une cinquantaine de salariés –,some of them have about fifty employees,66,234
4492,improviser,v,to improvise,je suis doué pour improviser –,I’m gifted at improvisation,74,171
4493,désespéré,nadj,"desperate, hopeless",j’envoyai un regard désespéré à mon père –,I looked desperately at my father,77,150
4494,auto,"nm, nf",car,des amis venaient nous chercher en auto –,friends came by car to pick us up,62,268
4495,troupeau,nm,"herd, flock","tu fais partie de mon troupeau, à présent. bienvenue –","you’re part of my flock, now. welcome",70,205
4496,gendarmerie,nf,"police force, police station",ils ont aussitôt alerté la gendarmerie –,they immediately warned police headquarters,59,298
4497,génétiquement,adv,genetically,nous consommons des aliments génétiquement modifiés –,we consume genetically modified foods,55,340
4498,analogue,nadj(f),"similar, analogous",la situation est analogue sur le plan mondial –,the situation is similar on a worldwide scale,62,271
4499,venu,nadj,come,il a un sourire ironique et satisfait –,he has an ironic and satisfied smile,73,176
4500,ironique,adj(f),ironic,il a un sourire ironique et satisfait –,he has an ironic and satisfied smile,73,176
4501,sanitaire,nadj(f),"health, sanitary, medical",il n’a pas respecté les règles sanitaires –,he didn’t obey the sanitation rules,60,285
4502,sonore,nadj(f),"sound, resonant, sonorous, voiced",il éclata d’un rire sonore –,he broke into a hearty laugh,65,239
4503,initier,v,"to initiate, introduce",j’ai commencé à m’initier à la Bible –,I started to become familiar with the Bible,73,180
4504,mœurs,nfpl,"morals, customs, habits, manners, ways",il avait des mœurs un peu bizarres –,his morals were somewhat bizarre,66,235
4505,cessez-le-feu,nmi,ceasefire,ces nouvelles violences menacent le fragile cessez-le-feu –,this new violence is threatening the fragile ceasefire,51,385
4506,bénévole,nadj(f),"volunteer, voluntary, unpaid",je félicite le personnel et les bénévoles de l’UNICEF –,I congratulate the UNICEF employees and volunteers,64,249
4507,boue,nf,mud,le trottoir était couvert d’une boue glacée –,the sidewalk was covered with frozen mud,68,217
4508,empereur,nm,emperor,ton empereur te demande ta loyauté –,your emperor demands your loyalty,72,186
4509,dissiper,v,"to dispel, disperse, clear away",le soleil avait dissipé les nuages –,the sun dispersed the clouds,66,235
4510,déclin,nm,"decline, deterioration","leur nombre est en déclin, mais ils sont encore assez nombreux –","their number is declining, but they are still numerous enough",69,206
4511,liquider,v,"to liquidate, sell off, clear",sommes-nous en train de dissiper nos actifs les plus précieux? –,are we liquidating our most precious assets?,73,180
4512,maintenance,nf,"maintenance, servicing",la maintenance des bateaux est moins bien assurée –,upkeep of the boats is less certain,43,474
4513,prévisible,adj(f),"predictable, forseeable",le dénie est la plus prévisible des réponses humaines –,denial is the most predictable of human responses,77,146
4514,pneu,nm,tire,je changerai le pneu –,I’ll change the tire,76,153
4515,fraude,nf,fraud,tu es coupable de fraude –,you’re guilty of fraud,65,243
4516,coton,nm,cotton,l’industrie du coton y est une source majeure de pollution –,the cotton industry is a major source of pollution,72,181
4517,entrevoir,v,"to make out, catch a glimpse of, foresee","pour l’avenir, elle entrevoit des débouchés intéressants –","for the future, she anticipates interesting opportunities",67,226
4518,stipuler,v,"to state, stipulate, specify",les voeux ne stipulent pas le bébé –,the vows don’t stipulate the baby,69,211
4519,remédier,v,"to cure, remedy, put right","pour remédier à cette affaire, il faut du courage –","to resolve this matter, courage will be necessary",63,260
4520,flotter,v,"to float, hang, stream",j’étais équipée pour flotter par-dessus les nuages –,I was outfitted to float above the clouds,64,251
4521,fraction,nf,fraction,tu fais une fraction de ce que tu suis –,you do a fraction of what you follow,65,241
4522,impossibilité,nf,impossibility,c’est une impossibilité physiologique –,it’s a physiological impossibility,68,219
4523,conditionnel,nadj,conditional,le meurtrier pourra demander une libération conditionnelle –,the murderer will be able to request parole,59,296
4524,nuance,nf,"shade, hue, nuance",vous ne pensez pas que c’est une belle nuance de bleu? –,don’t you think it’s a pretty shade of blue?,68,218
4525,improbable,adj(f),"unlikely, improbable",l’unanimité était assez improbable –,unanimity was rather improbable,78,135
4526,enquêteur,nm,"investigator, pollster",les enquêteurs ont nié vendredi avoir torturé le suspect –,on Friday the interrogators denied having tortured the suspect,54,345
4527,conjointement,adv,jointly,nous devons conjointement exercer une pression –,we must exert pressure together,73,175
4528,éclaircir,v,"to brighten up, clear up",le temps éclaircira ce mystère –,time will clear up this mystery,77,143
4529,bordel,nm,"brothel, mess, chaos","un jour, la patronne du bordel m’envoya chez un autre libertin –","one day, the madame of the brothel sent me to another libertine’s place",50,384
4530,impatient,nadj,impatient,je suis impatiente de relever ces défis –,I’m eager to take up these challenges,72,180
4531,versement,nm,payment,"les versements aux hôpitaux publics progressent de 0,7 % –",payments to public hospitals increased by 0.7%,67,224
4532,bosser,v,"to work, bash on",j’avais bossé dessus toute la nuit –,I had been working on it all night,52,369
4533,articuler,v,to articulate,il parlait lentement et articulait avec soin –,he spoke slowly and articulated carefully,72,179
4534,successivement,adv,successively,mes recherches ont successivement porté sur deux domaines –,my research focused sequentially on two areas,75,158
4535,assurément,adv,most certainly,"la thèse se discute, assurément –",the argument is most assuredly being discussed,74,167
4536,provision,nf,"stock, supply",tu as acheté les provisions pour le repas de midi? –,did you buy supplies for lunch?,67,219
4537,amplifier,v,"to amplify, magnify, expand",amplifiez le son –,amplify the sound,73,174
4538,ceinture,nf,"belt, waist",veuillez attacher votre ceinture –,please attach your seatbelt,67,224
4539,intergouvernemental,adj,intergovernmental,l’esprit des accords intergouvernementaux conclus avec les provinces –,the spirit of intergovernmental agreements involving the provinces,53,358
4540,délibération,nf,"deliberation, debate, consideration",lisez la transcription des délibérations –,read the transcript of the debate,56,322
4541,mexicain,nadj,Mexican,j’étais couchée sur la couverture mexicaine –,I was lying down on the Mexican blanket,67,222
4542,seigneur,nm,lord,le Seigneur est mon berger –,the Lord is my shepherd,60,280
4543,saisonnier,adj,seasonal,le tourisme est une industrie saisonnière –,tourism is a seasonal industry,53,354
4544,souterrain,nadj,"underground, underground passage",ils découvraient un corridor souterrain –,they discovered an underground corridor,73,174
4545,merveille,nf,"marvel, wonder",je suis une merveille de la nature –,I’m a wonder of nature,69,207
4546,restituer,v,"to return, restore, refund","en cas de rupture, il ne restituera rien –","in case of breach of contract, he will not refund anything",79,129
4547,démon,nm,"demon, fiend",les démons aussi ont la foi –,devils have faith too,67,218
4548,balancer,v,"to swing, sway",cela plie terriblement et se balance à la moindre brise –,this folds terribly and sways with the slightest breeze,58,297
4549,disponibilité,nf,availability,les objectifs de disponibilité sont des facteurs importants –,goals for availability are important factors,60,284
4550,infiniment,adv,infinitely,votre idée me fait infiniment plaisir –,your idea pleases me infinitely,67,220
4551,acquis,nadj(pl),"acquired, experience",comptez-vous consolider vos acquis en France? –,do you plan to consolidate your acquisitions in France?,67,217
4552,récepteur,nm,"receiver, receiving",il avait négligé de décrocher le récepteur –,he had forgotten to lift up the receiver,45,442
4553,glissement,nm,"sliding, slipping, skidding",des glissements de neige humide pourraient se produire –,wet snowslides could occur,54,341
4554,auditeur,nm,"auditor, listener",mais le choix appartient aux auditeurs –,but the choice belongs to the listener,58,303
4555,indigène,nadj(f),"native, local",il reste à convaincre les indigènes de vendre leurs terres –,the natives still have to be convinced to sell their lands,68,215
4556,chocolat,"adji, nm",chocolate,je t’ai apporté des chocolats –,I brought you some chocolates,74,166
4557,indirectement,adv,indirectly,j’étais impliqué aussi bien directement qu’indirectement –,I was implicated as directly as I was indirectly,75,159
4558,obtention,nf,"obtaining, achievement",l’obtention d’un diplôme est une occasion spéciale –,obtaining a diploma is a special occasion,78,132
4559,grandissant,adj,"growing, increasing",l’insatisfaction grandissante exige une action rapide –,growing dissatisfaction requires a rapid response,82,106
4560,chagrin,"adj, nm","grief, sorrow,",j’en ai eu des moments de chagrin dans ma vie –,I have had moments of sorrow in my life,60,277
4561,prostitué,nadj,prostitute,toutes deux étaient filles de prostituée –,both were daughters of a prostitute,76,153
4562,lumineux,adj(pl),"luminous, illuminated; light","la salle est bruyante, très lumineuse –","the room is noisy, very bright",69,207
4563,soupe,nf,soup,"mange ta soupe, dis-je –","eat your soup, I said",68,209
4564,bravo,"intj, nm","bravo, well done",j’ai de bonnes nouvelles. bravo. vos appels ont porté leurs fruits –,I have good news. congratulations. your appeals worked,53,347
4565,appréhender,v,"to dread, apprehend",15.000 clandestins ont été appréhendés –,"15,000 illegal immigrants were apprehended",77,139
4566,concitoyen,nm,fellow citizen,"mes chers concitoyens, je sais que vous êtes fatigués –","my dear fellow citizens, I know you’re exhausted",65,237
4567,flèche,nf,arrow,cette flèche indique l’ordre de traitement –,this arrow shows the order of processing,73,175
4568,libéralisation,nf,liberalization,la libéralisation économique est désormais quasiment achevée –,economic freedom is henceforth largely achieved,60,284
4569,complot,nm,"plot, conspiracy","je n’aime pas les complots, les mystères –",I don’t like conspiracies or mysteries,77,145
4570,signataire,"nm, nf",signatory,je crois qu’il faut 30 signataires –,I think we need 30 signatures,68,213
4571,ski,nm,"ski, skiing",je fais du ski –,I ski,57,306
4572,douanier,nadj,customs officer,il n’y avait pas de contrôle douanier –,there was no customs check,62,260
4573,syndrome,nm,syndrome,je souffre … du syndrome du manque d’amour –,I suffer from lack-of-love syndrome,71,185
4574,météo,nf,weather forecast,on nous annonçait la météo du lendemain –,the next day’s weather forecast was given to us,57,310
4575,borner,v,"to limit, confine",nous nous bornons à faire notre travail –,we confine ourselves to doing our work,68,208
4576,triompher,v,"to triumph, beat",la démocratie finit toujours par triompher –,democracy always triumphs,65,233
4577,concrétiser,v,to materialise,j’espère vraiment concrétiser ce rêve un jour! –,I really hope to realize this dream one day!,71,183
4578,soumission,nf,submission,le foulard symbolise la soumission à Dieu –,the head scarf symbolizes submission to God,75,159
4579,continuellement,adv,"continually, continuously","je dors continuellement, et j’ai de la fièvre –","I sleep constantly, and I have a fever",78,134
4580,dérober,v,"to steal, hide",on leur déroba leurs valises –,their luggage was stolen,71,184
4581,romancier,nm,novelist,"un romancier raconte toujours une histoire, son histoire –","a novelist always tells a story, his story",60,281
4582,sorcier,nm,"sorcerer, witch",les sorcières aussi tombent malades? –,witches get sick too?,71,188
4583,consigne,nf,"deposit, orders, detention",il rappelle quelques consignes générales –,he recalls some general orders,74,164
4584,harmonie,nf,harmony,nous devons travailler ensemble en parfaite harmonie –,we must work together in perfect harmony,70,192
4585,blond,nadj,"blond, fair-haired",elle avait de jolis cheveux blonds –,she had pretty blonde hair,57,308
4586,pleuvoir,v,to rain,il trouve qu’il pleut tous les jours –,he finds that it rains every day,67,216
4587,déplaire,v,"to displease, be unhappy",tout ce qui est superflu déplaît à Dieu et à la nature –,anything superfluous displeases God and nature,70,190
4588,innombrable,adj(f),"innumerable, countless",son existence résulte d’innombrables morts –,its existence stems from an untold number of deaths,67,216
4589,félicitation,nf,congratulation,nous recevons de nombreuses lettres de félicitations –,we receive many letters of congratulation,61,268
4590,inédit,nadj,"unpublished; original, new",dix-sept films inédits seront en compétition –,seventeen unedited films will be competing,68,207
4591,lance,nf,lance,"ils forgeront des charrues, des lances –","they will make chariots, lances",80,117
4592,désireux,adj(pl),"avid for, anxious to, desirous of",beaucoup seraient désireux de vous rencontrer –,many people would be happy to meet you,77,138
4593,diversifier,v,"to vary, diversify",on a un pays très diversifié –,we have a very diversified country,67,219
4594,vélo,nm,"bike, bicycle",elles se sont amenées hier en vélo –,they arrived here yesterday by bicycle,73,166
4595,fatigue,nf,"tiredness, fatigue",les gens sont peut-être fatigués –,the people are perhaps tired,60,276
4596,instabilité,nf,instability,l’instabilité politique demeure –,political instability remains,66,222
4597,pénaliser,v,"to penalize, punish",on est en train de pénaliser nos travailleurs –,we’re punishing our workers,64,238
4598,comte,nm,count,le mari était comte. l’amant était marquis –,the husband was a count. the lover was a marquis,56,316
4599,amer,"adj, nm",bitter,une surprise amère l’attend –,a bitter surprise awaits her,65,231
4600,orchestre,nm,orchestra,les orchestres ne veulent pas de ma musique –,orchestras don’t want my music,71,184
4601,foncier,adj,"land-related, land, fundamental",le code foncier va permettre cela –,the land-use laws will allow that,61,267
4602,dixième,"det, nm, nf",tenth,on ne comprend pas le dixième de ce que vous dites –,we don’t understand a tenth of what you’re saying,76,146
4603,est,nmi,east,toutes les églises sont tournées vers l’est –,all of the churches have turned their attention eastwards,75,152
4604,envelopper,v,"to wrap, surround, veil",donne-moi quelque chose pour envelopper le petit –,give me something to wrap the infant in,63,252
4605,troublant,adj,disturbing,c’est là quelque chose de très troublant –,something’s very wrong here,78,133
4606,irrégulier,adj,"irregular, uneven",leurs revenus sont incertains et irréguliers –,their income is uncertain and irregular,77,136
4607,fouet,nm,whip,il marchait sous le fouet du maître –,he walked under the whip of the master,74,162
4608,baigner,v,"to bathe, wash, get a bath, go for a swim","je me baignai avec Anne, elle nageait doucement –",I swam with Anne; she was gently swimming,67,214
4609,fixation,nf,"fixation, fixing",le peintre procède alors à une fixation –,the painter then becomes fixated,79,122
4610,encadrement,nm,"training, framing, supervision",le personnel d’encadrement des ateliers est réduit –,supervisory staff in the workshops is reduced,74,157
4611,déménager,v,to move,on a déménagé dans un petit local –,we moved into a little nook,74,157
4612,esthétique,nadj(f),"aesthetics, attractiveness; attractive",je ressens une passion esthétique –,I feel an aesthetic passion,62,259
4613,photographier,v,to photograph,allons nous faire photographier aux îles –,let’s go get photographed in the islands,77,141
4614,insensé,nadj,insane,t’as un comportement insensé –,your behavior is crazy,72,173
4615,moderniser,v,to modernize,nous devons simplement moderniser ce système –,we must simply modernize the system,70,194
4616,expérimental,adj,experimental,"du point de vue expérimental, il est bon de vérifier –","from an experimental standpoint, it’s good to double-check",65,232
4617,incomber,v,to be incumbent upon,ce rôle leur incombe maintenant –,this role falls to them now,62,254
4618,retombée,nf,"fallout, consequences, effects",je n’ai pas eu de mauvaises retombées –,I haven’t had any bad effects,75,153
4619,équivaloir,v,"to be equivalent, amount to",cela équivaut à une taxe sur les malades –,this amounts to a tax on sick people,67,211
4620,différencier,v,to differentiate,je sais différencier un compliment d’une flatterie –,I know the difference between a compliment and flattery,72,175
4621,éventail,nm,"fan, range",le gouvernement finance un éventail d’initiatives de recherche –,the government is financing a range of research initiatives,73,166
4622,solde,"nm, nf",balance; pay; sale,tout est en solde dans Paris –,everything’s on sale in Paris,64,240
4623,gâcher,v,"to waste, spoil",je ne voulais pas gâcher votre fête –,I didn’t want to ruin your party,67,210
4624,régiment,nm,regiment,c’est le meilleur soldat du régiment –,he’s the best soldier in the regiment,75,150
4625,chiite,nadj(f),Shiite,"la conférence devait réunir des leaders chiites, sunnites et kurdes –","the conference was meant to bring together Shiite, Sunni, and Kurdish leaders",49,380
4626,bouleversement,nm,upheaval,le bouleversement est profond autour de nous –,profound upheaval is all around us,75,155
4627,relater,v,"to relate, recount",ils m’ont relaté des histoires cauchemardesques –,they recounted nightmarish stories,78,130
4628,décent,adj,"decent, proper","en surface, elle paraissait décente, prude et tout –","outwards, she appeared proper, prudish, and so on",81,112
4629,éminent,adj,"eminent, distinguished",je souscris volontiers au verdict d’un éminent psychanalyste –,I gladly concur with the verdict of a distinguished psychoanalyst,77,140
4630,instituteur,nm,school teacher,l’instituteur feuilletait un manuel de sociologie –,the teacher paged through a sociology manual,72,173
4631,rayer,v,"to scratch, streak, stripe; to erase, strike out",tu portes une chemise rayée et une cravate rayée –,you’re wearing a striped shirt and a striped necktie,77,136
4632,concrètement,adv,in concrete terms,je vous demande concrètement si vous allez prendre des mesures sérieuses –,I ask you concretely if you are going to take serious measures,68,206
4633,coulisse,nf,"backstage, wings, behind the scenes","car, en coulisse, on négocia –","for, behind the scenes, there were negotiations",77,141
4634,enchaîner,v,"to chain up, connect, string together",tout semble s’enchaîner dans cette sinistre marche des événements –,everything seemed to link together in this sinister sequence of events,72,174
4635,ratification,nf,ratification,le processus de ratification n’est pas mort –,the ratification process is not dead,66,223
4636,emplacement,nm,"site, location",les emplacements de camping sont séparés –,the camping sites are separated,69,196
4637,copier,v,"to copy, reproduce",j’ai copié l’article –,I copied the article,75,154
4638,inculper,v,to charge,les preuves étaient insuffisantes pour l’inculper –,the evidence was insufficient to charge him,58,292
4639,renouveau,nm,renewal,"ce renouveau doit, naturellement, commencer par en haut –",this renewal of course has to come top-down,78,132
4640,néerlandais,nadj(pl),Dutch,la multinationale néerlandaise a annoncé de nouvelles pertes –,the Dutch multinational announced new losses,54,323
4641,intégral,adj,"complete, unabridged",ils constituent un élément intégral de notre histoire –,they constitute an integral part of our history,75,152
4642,spécification,nf,specification,il convient alors de respecter les spécifications supplémentaires –,then it would be appropriate to honour the supplementary specifications,40,482
4643,documentation,nf,"documentation, literature",j’écris aussi des documentations en français –,I also write documentation in French,72,172
4644,logiquement,adv,logically,"logiquement, il fallait que cette vie se termine –","logically, this life had to end",78,129
4645,spectre,nm,"spectrum, ghost",le spectre d’un conflit nucléaire généralisé s’écarte –,the threat of a widespread nuclear conflict is lessening,57,302
4646,harmoniser,v,"to harmonize, harmonize with",il harmonise les règles –,he reconciled the rules,72,173
4647,suédois,nadj(pl),"Swedish, Swede",nous avons même un correspondant suédois –,we even have a Swedish correspondent,58,284
4648,rouvrir,v,to reopen,"quant aux écoles militaires, elles étaient rouvertes sans délai –",the military schools were reopened without delay,68,206
4649,débouché,nm,"prospect, opportunity, opening",il existe de nombreux débouchés dans plusieurs branches –,there are several openings in many branches,68,202
4650,croisé,nadj,twill; alternate; crusader; crossed,nos chemins se sont croisés de façon intéressante –,our paths crossed in an interesting manner,78,127
4651,fléau,nm,"scourge, plague",la pauvreté est un fléau –,poverty is a plague,78,130
4652,traversée,nf,crossing,la traversée avait duré juste trois heures –,it only took three hours to make the crossing,77,140
4653,solaire,adj(f),solar,nous pensons que le système solaire est issu d’une étoile –,we think the solar system emerged from a star,73,164
4654,secrétariat,nm,"secretaryship, secretariat, secretarial offices, secretary’s office",les clés seront au secrétariat –,the keys are at the secretary’s office,73,163
4655,mou,"adj, nm",soft,je devenais froide et molle comme un vieux cadavre –,I became cold and soft like an old cadaver,65,230
4656,venger,v,"to avenge, take revenge",tu t’es vengé. réjouis-toi avant d’oublier –,you got your revenge. enjoy it before you forget,65,230
4657,détenteur,nadj,"holder, possessor, bearer",cette carte plastifiée devrait permettre à son détenteur de voter –,this plastic card should allow the bearer to vote,76,146
4658,basque,nadj(f),Basque,il y avait un couple de jeunes basques aussi qui était venu au Sénégal –,there was also a couple of Basque youths who came to Senegal,55,313
4659,soif,nf,thirst,"si tu as soif, tu bois –","if you’re thirsty, you drink",65,229
4660,accumulation,nf,"accumulation, amassing, storage, stockpiling, build-up",il y a de dangereuses accumulations de neige –,there are dangerous accumulations of snow,62,252
4661,autoritaire,adj(f),authoritarian,c’est un régime extraordinairement autoritaire –,its an extraordinarily authoritative regime,73,163
4662,essor,nm,"expansion, development, flight",cette ville a pris un nouvel essor économique et touristique –,this city has made new strides in the economy and tourism,72,174
4663,obséder,v,"to obsess, haunt",je ne suis pas obsédée du tout par la réussite –,I’m not at all obsessed by success,73,167
4664,intolérable,adj(f),intolerable,leurs conditions de vie deviennent intolérables –,their living conditions are becoming intolerable,80,118
4665,rébellion,nf,rebellion,"la rébellion va éclater, des gouvernments vont tomber! –","rebellion will break out, governments will fall!",58,282
4666,préventif,adj,preventive,les antibiotiques sont utilisés de façon préventive –,the antibiotics are used for prevention,66,219
4667,désignation,nf,designation,une désignation rapide et positive est nécessaire –,a swift and positive designation is necessary,73,167
4668,aimable,adj(f),"pleasant, kind, nice",je voulais juste être aimable –,I just wanted to be likable,62,254
4669,conformité,nf,conformity,on a un problème de conformité au niveau des registres –,we have a consistency problem with the books,66,219
4670,pantalon,nm,"trousers, pants","ôtez votre pantalon et entrez, je vais vous examiner –","take off your pants and come in, I’m going to examine you",57,298
4671,anormal,nadj,abnormal,c’est tout à fait anormal –,it’s completely abnormal,60,264
4672,inhérent,adj,inherent,nous reconnaissons le droit inhérent des autochtones –,we recognize the inherent rights of natives,71,179
4673,réconcilier,v,to reconcile,la mère et le fils se réconcilient –,mother and son reconciled,75,150
4674,réservoir,nm,"tank, reservoir",le réservoir ainsi formé est un immense lac –,the reservoir thus formed is an immense lake,77,135
4675,aveu,nm,confession,je considère votre silence comme un aveu –,I take your silence to be a confession,70,182
4676,emmerder,v,"to bug, bother",je serais bien emmerdé si tu attrapais une pneumonie –,I would be pissed off if you catch a cold,52,341
4677,inondation,nf,"flood, deluge",l’école est fermée pour inondation –,the school is closed due to flooding,63,237
4678,câble,nm,"cable, wire",le câble est bloqué –,the cable is blocked,62,247
4679,poumon,nm,lung,ils respiraient à pleins poumons –,they breathed very deeply,72,169
4680,humble,adj(f),"humble, lowly",veuillez accepter mes humbles excuses –,please accept my humble apologies,68,199
4681,perturbation,nf,"disruption, disturbance",la circulation n’a pas connu d’importantes perturbations –,traffic hasn’t been greatly affected,64,236
4682,brouiller,v,"to mix-up, confuse, scramble",le récit des confessions brouille tout –,the written confession muddles up everything,66,216
4683,illustration,nf,illustration,les illustrations sont originales –,the illustrations are original,69,192
4684,appliqué,adj,"assiduous, industrious, careful","oui, j’étais une élève appliquée –","yes, I was a diligent student",75,148
4685,fermier,nadj,farmer,les fermiers ont des journées très remplies –,farmers have very busy days,72,170
4686,hanter,v,to haunt,tu hantes mes rêves –,you haunt my dreams,74,153
4687,cordon,nm,"cord, string, lead",elle a sectionné le cordon avec ses dents –,she cut the cord with her teeth,74,156
4688,néfaste,adj(f),"harmful, ill-fated",ces polluants sont néfastes pour tous –,these pollutants are harmful to everyone,72,168
4689,lasser,v,"to tire, weary, grow weary",je ne veux pas lasser le public –,I don’t want to make the public weary,67,209
4690,influer,v,"to influence, have an influence on","chaque vie, influe sur les autres –",each life influences others,74,154
4691,présentement,adv,"at present, presently",nous étudions ce besoin présentement –,we’re currently studying this need,52,338
4692,plate-forme,nf,platform,ils restèrent debout sur la plate-forme –,they remained standing on the platform,76,139
4693,stopper,v,"to stop, halt",vous pourriez me stopper avec un seul mot –,you could stop me with one single word,72,169
4694,kurde,nadj(f),"Kurd, Kurdish",la langue kurde est interdite à l’école –,the Kurdish language is forbidden at school,53,328
4695,amusant,nadj,"funny, amusing, entertaining",j’avais trouvé une phrase amusante –,I had found a funny phrase,65,222
4696,tremblement,nm,"shiver, trembling, shaking",il y avait dans sa voix un tremblement –,there was trembling in her voice,66,217
4697,rail,nm,"rail, track",j’ai suivi les rails pour arriver ici –,I followed the tracks to get here,74,154
4698,fondamentalement,adv,"basically, fundamentally, inherently",telle est fondamentalement notre position –,fundamentally that is our position,67,210
4699,lampe,nf,"lamp, light",la scène est éclairée par une lampe à pétrole –,the scene was lit by a kerosene lamp,56,301
4700,triple,nadj(f),triple,t’as vu mon triple saut? je peux le refaire –,did you see my triple jump? I can do it again,76,140
4701,inchangé,adj,unchanged,l’état de la route demeure inchangé –,road conditions remain unchanged,61,255
4702,supplier,v,"to beg, implore","je t’en supplie, ne pars pas –","I beg you, don’t leave",60,268
4703,multiplication,nf,multiplication,j’avais prédit une multiplication de travail pour l’automne –,I predicted an increase in workload for the fall,67,205
4704,camoufler,v,"to cover up, conceal, camouflage",certaines araignées changent leurs couleurs pour se camoufler –,some spiders change colours as camouflage,84,89
4705,cliché,nm,cliché; negative,cette théorie est devenue un vieux cliché freudien –,this theory has become an old Freudian cliché,73,165
4706,diamant,nm,diamond,c’est le plus beau diamant du monde –,it’s the most beautiful diamond in the world,71,180
4707,guerrier,nadj,warrior; warlike,t’as une âme de guerrier –,you have a warrior’s soul,68,198
4708,figer,v,"to clot, coagulate, congeal, set",le pauvre animal resta figé sur place –,the poor animal remained frozen in its tracks,62,249
4709,comique,nadj(f),"comical; comic, comedian",le malentendu serait plutôt comique –,the misunderstanding would be rather comical,73,162
4710,planification,nf,planning,ils doivent payer pour la mauvaise planification –,they have to pay for bad planning,63,240
4711,éloge,nm,praise,je ferai votre éloge –,I will sing your praises,76,143
4712,regroupement,nm,"regrouping, reassembly",ils inventent les regroupements de populations –,they create population regroupings,72,171
4713,odieux,adj(pl),"hateful, odious",ces façons de parler sont odieuses –,these are heinous manners of speaking,74,155
4714,désastreux,adj(pl),disastrous,ce sera un mariage désastreux –,that will be a disastrous marriage,72,172
4715,nocturne,nadj(f),"nocturnal, nocturne",ils ajustèrent leurs lunettes à vision nocturne –,they adjusted their night vision goggles,69,193
4716,configuration,nf,"configuration, layout",la configuration institutionnelle rendrait une partition très difficile –,the institutional configuration would render a partition very difficult,52,342
